Workreport_ID,Employee_SSN,Contractor_ID,Contractor_review,Contractor_remuneration,Total_cost,Description,Approved,Manager_comment
wrep54,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep55,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep56,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep57,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep58,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep59,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep60,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep61,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep62,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep63,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep64,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep65,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep66,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep67,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep68,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep69,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep70,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep71,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep72,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep73,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep74,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep75,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep76,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep77,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep78,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep79,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep80,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep81,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep82,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep83,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep84,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep85,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep86,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep87,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep88,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep89,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep90,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep91,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep92,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep93,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep94,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep95,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep96,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep97,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep98,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep99,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep100,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep101,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep102,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep103,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep104,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep105,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep106,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep107,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep108,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep109,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep110,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep111,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep112,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep113,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep114,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep115,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep116,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep117,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep118,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep119,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep120,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep121,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep122,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep123,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep124,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep125,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep126,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep127,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep128,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep129,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep130,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep131,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep132,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep133,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep134,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep135,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep136,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep137,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep138,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep139,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep140,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep141,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep142,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep143,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep144,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep145,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep146,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep147,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep148,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep149,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep150,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep151,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep152,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep153,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep154,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep155,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep156,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep157,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep158,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep159,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep160,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep161,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep162,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep163,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep164,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep165,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep166,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep167,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep168,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep169,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep170,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep171,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep172,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep173,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep174,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep175,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep176,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep177,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep178,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep179,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep180,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep181,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep182,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep183,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep184,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep185,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep186,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep187,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep188,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep189,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep190,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep191,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep192,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep193,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep194,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep195,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep196,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep197,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep198,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep199,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep200,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep201,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep202,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep203,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep204,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep205,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep206,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep207,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep208,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep209,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep210,123456-0005,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep211,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep212,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep213,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep214,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep215,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep216,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep217,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep218,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep219,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep220,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep221,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep222,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep223,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep224,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep225,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep226,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep227,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep228,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep229,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep230,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep231,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep232,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep233,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep234,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep235,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep236,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep237,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep238,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep239,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep240,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep241,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep242,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep243,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep244,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep245,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep246,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep247,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep248,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep249,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep250,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep251,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep252,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep253,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep254,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep255,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep256,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep257,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep258,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep259,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep260,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep261,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep262,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep263,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep264,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep265,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep266,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep267,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep268,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep269,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep270,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep271,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep272,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep273,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep274,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep275,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep276,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep277,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep278,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep279,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep280,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep281,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep282,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep283,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep284,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep285,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep286,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep287,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep288,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep289,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep290,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep291,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep292,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep293,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep294,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep295,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep296,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep297,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep298,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep299,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep300,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep301,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep302,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep303,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep304,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep305,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep306,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep307,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep308,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep309,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep310,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep311,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep312,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep313,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep314,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep315,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep316,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep317,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep318,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep319,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep320,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep321,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep322,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep323,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep324,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep325,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep326,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
